id_player,total_attempts,attempts_on_target,attempts_off_target,blocked,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored
250016833,20.0,12.0,6.0,2.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0
250103758,21.0,10.0,5.0,6.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
250121533,17.0,10.0,6.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0
250076574,20.0,9.0,5.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
250105927,15.0,8.0,3.0,4.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0
250101534,17.0,7.0,6.0,4.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
250138382,14.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250096849,12.0,7.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
250127111,11.0,7.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0
250080553,10.0,7.0,2.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0
250088061,17.0,6.0,7.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
250099180,13.0,6.0,5.0,2.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0
250002096,13.0,6.0,4.0,3.0,5.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0
250118964,12.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
250124460,12.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
250139445,10.0,6.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
250134320,9.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
250102035,8.0,6.0,1.0,1.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,2.0
250041770,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250112880,15.0,5.0,8.0,2.0,5.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0
250052469,13.0,5.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
250130406,13.0,5.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
250194673,13.0,5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
250176450,11.0,5.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
250124430,11.0,5.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
250144965,9.0,5.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
250064274,8.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
250146674,8.0,5.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
250121294,8.0,5.0,1.0,2.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
250106939,8.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
250127347,7.0,5.0,2.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0
250096698,7.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
250171301,12.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
250171184,12.0,4.0,1.0,7.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
250160436,10.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
250141861,9.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
250183519,9.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250153402,9.0,4.0,2.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
250112186,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250078012,8.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250130414,8.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
250091165,7.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
250134138,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250113373,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250132811,5.0,4.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
250118281,5.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
250091187,5.0,4.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
